Feature_GID,T0,T1,T3,T6,T24
Sto_386820,7.615922,7.142338,7.234355,6.946930,7.011855
Sto_034420,6.377403,5.388925,5.998016,6.317562,6.410880
Sto_048770,10.366985,10.002909,9.986896,9.890782,9.813952
Sto_017400,7.670715,7.801901,7.291558,7.413940,7.753634
Sto_109610,12.223314,11.883362,11.843590,11.752322,11.601777
Sto_362810,7.367746,7.402393,6.987241,6.083484,6.056395
Sto_207840,9.016677,8.729706,8.636947,8.612724,8.654948
Sto_237590,9.982467,9.699684,9.601457,9.607840,9.799914
Sto_411670,7.614214,7.465681,7.231297,6.861953,7.146290
Sto_104250,7.256436,7.464212,6.871977,7.794446,7.185316
Sto_233020,7.218153,6.723633,6.834040,6.919514,7.051937
Sto_075780,10.077219,9.753636,9.695422,10.127834,10.029914
Sto_215400,9.156289,9.166532,8.776196,8.707834,9.280682
Sto_044130,7.615995,7.771162,7.231433,7.222957,7.410268
Sto_036430,11.375939,11.758943,10.993938,10.150658,10.410140
Sto_023360,7.588446,7.907881,7.199634,7.054792,7.103634
Sto_328700,9.205813,11.081599,8.823178,8.454185,8.533866
Sto_246910,7.038444,6.688634,6.661569,7.501230,8.154595
Sto_247290,10.057450,9.982460,9.673353,9.233284,9.083706
Sto_080970,7.834229,7.347357,7.450471,7.043476,7.346728
Sto_106580,8.965486,9.212560,8.580989,8.690108,9.231799
Sto_229040,6.529293,6.270825,6.153086,6.513486,6.864916
Sto_113530,5.458297,4.964257,5.080323,6.139554,5.528653
Sto_373850,7.377971,7.450208,6.993795,6.839103,6.555739
Sto_143360,12.077767,11.663060,11.693151,11.313848,10.787878
Sto_269100,7.364391,6.914817,6.984069,7.364064,7.661840
Sto_063940,9.805133,9.949578,9.419586,9.426558,9.289395
Sto_076730,11.584264,11.595025,11.198243,11.043103,11.468514
Sto_062270,8.624121,7.566289,8.238364,8.573606,8.644407
Sto_276190,8.542752,8.777088,8.153108,8.874918,8.842906
Sto_194890,5.600779,5.367531,5.210326,4.174601,3.200801
Sto_125760,3.250051,3.804057,2.868258,2.190723,2.138791
Sto_207940,7.679329,6.952127,7.294124,7.407792,7.725356
Sto_127180,6.952749,7.567379,6.563262,6.090696,6.261586
Sto_094760,7.061735,6.946883,6.675285,6.528555,6.902995
Sto_231500,6.225042,4.869183,5.837780,5.992726,6.654184
Sto_134270,6.580270,6.128226,6.190331,6.596438,6.651714
Sto_150410,6.302113,4.980882,5.923098,5.735541,6.155588
Sto_123060,7.615897,7.574837,7.225156,7.317360,7.723044
Sto_129630,7.057217,7.733578,6.666080,6.662562,6.821331
Sto_206150,9.109201,9.005326,8.722588,10.098697,10.597552
Sto_057280,9.181978,8.478105,8.795784,9.799742,9.246629
Sto_034800,6.445057,5.689717,6.065816,5.938098,6.052872
Sto_234720,9.732923,8.679093,9.346944,9.422389,9.717487
Sto_125440,6.370157,6.208168,5.977241,7.039586,6.218935
Sto_163160,13.029240,13.306083,12.641965,12.163076,12.595504
Sto_027520,8.430358,7.929545,8.039695,8.338927,8.365672
Sto_399880,4.350712,2.761042,3.969368,4.077879,3.893943
Sto_314010,7.123509,6.605541,6.726485,8.007820,7.712097
Sto_276070,10.402454,10.966666,10.013644,10.262939,10.154430
